description,hostname,field_name,field_value,snmp_index,data_source_path
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/6/0/26,1657,<path_rra>/p-d1-btc_traffic_in_175306.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/6/0/23,1654,<path_rra>/p-d1-btc_traffic_in_175303.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/6/0/22,1653,<path_rra>/p-d1-btc_traffic_in_175302.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/6/0/21,1652,<path_rra>/p-d1-btc_traffic_in_175301.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/6/0/20,1651,<path_rra>/p-d1-btc_traffic_in_175300.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/6/0/19,1650,<path_rra>/p-d1-btc_traffic_in_175299.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/6/0/18,1649,<path_rra>/p-d1-btc_traffic_in_175298.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/6/0/17,1648,<path_rra>/p-d1-btc_traffic_in_175297.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/2/0/5,187,<path_rra>/p2-d1-btc_traffic_in_138698.rrd
 P-D7-PNK,61.5.14.55,ifName,HundredGigE0/14/0/17,676,<path_rra>/p-d7-pnk_traffic_in_177087.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/4/0/17,1092,<path_rra>/p-d1-bds_traffic_in_164586.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/4/0/13,1088,<path_rra>/p-d1-bds_traffic_in_164582.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/4/0/14,1089,<path_rra>/p-d1-bds_traffic_in_164583.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/4/0/18,1093,<path_rra>/p-d1-bds_traffic_in_164587.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/4/0/15,1090,<path_rra>/p-d1-bds_traffic_in_164584.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/4/0/16,1091,<path_rra>/p-d1-bds_traffic_in_164585.rrd
 P-D2-JT2,61.5.14.159,ifName,HundredGigE0/0/0/30,562,<path_rra>/p-d2-jt2_new_traffic_in_153559.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/8/0/18,1047,<path_rra>/p-d7-ptr_traffic_in_175519.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/8/0/19,1048,<path_rra>/p-d7-ptr_traffic_in_175520.rrd
 P-D2-JT2,61.5.14.159,ifName,HundredGigE0/0/0/31,563,<path_rra>/p-d2-jt2_new_traffic_in_153560.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/4/0/25,1100,<path_rra>/p-d1-bds_traffic_in_164594.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/4/0/26,1101,<path_rra>/p-d1-bds_traffic_in_164595.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/8/0/20,1049,<path_rra>/p-d7-ptr_traffic_in_175521.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/6,704,<path_rra>/p-d7-mdo_traffic_in_178839.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/0/0/12,161,<path_rra>/p2-d1-btc_traffic_in_138672.rrd
 P-D2-JT2,61.5.14.159,ifName,HundredGigE0/13/0/10,564,<path_rra>/p-d2-jt2_new_traffic_in_153561.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/0/0/11,160,<path_rra>/p2-d1-btc_traffic_in_138671.rrd
 P-D5-KBL,61.5.14.164,ifName,HundredGigE0/1/0/13,686,<path_rra>/p-d5-kbl_traffic_in_149991.rrd
 P-D7-PTR,61.5.13.10,ifName,GigabitEthernet0/13/1/18,102,<path_rra>/p-d7-ptr_traffic_in_141895.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/0/0/13,162,<path_rra>/p2-d1-btc_traffic_in_138673.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/0/0/14,163,<path_rra>/p2-d1-btc_traffic_in_138674.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/0/0/16,165,<path_rra>/p2-d1-btc_traffic_in_138676.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/15/0/16,779,<path_rra>/p-d7-mdo_traffic_in_178880.rrd
 P-D2-CKA,61.5.14.158,ifName,Bundle-Ether60,1191,<path_rra>/p-d2-cka_traffic_in_175749.rrd
 P-D1-BTC,61.5.14.57,ifName,TenGigE0/9/0/40,349,<path_rra>/p2-d1-btc_traffic_in_138860.rrd
 P-D1-BTC,61.5.14.57,ifName,TenGigE0/9/0/47,348,<path_rra>/p2-d1-btc_traffic_in_138859.rrd
 P-D1-BTC,61.5.14.57,ifName,TenGigE0/9/0/46,347,<path_rra>/p2-d1-btc_traffic_in_138858.rrd
 P-D1-BTC,61.5.14.57,ifName,TenGigE0/9/0/45,346,<path_rra>/p2-d1-btc_traffic_in_138857.rrd
 P-D1-BTC,61.5.14.57,ifName,TenGigE0/9/0/44,345,<path_rra>/p2-d1-btc_traffic_in_138856.rrd
 P-D1-BTC,61.5.14.57,ifName,TenGigE0/9/0/35,344,<path_rra>/p2-d1-btc_traffic_in_138855.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/5/0/17,1582,<path_rra>/p-d1-bds_traffic_in_175250.rrd
 P-D7-PTR,61.5.13.10,ifName,Bundle-Ether95,666,<path_rra>/p-d7-ptr_traffic_in_160557.rrd
 P-D7-PTR,61.5.13.10,ifName,Bundle-Ether99,667,<path_rra>/p-d7-ptr_traffic_in_160556.rrd
 P-D7-PTR,61.5.13.10,ifName,Bundle-Ether26,649,<path_rra>/p-d7-ptr_traffic_in_160539.rrd
 P-D7-PTR,61.5.13.10,ifName,Bundle-Ether28,650,<path_rra>/p-d7-ptr_traffic_in_160538.rrd
 P-D7-PTR,61.5.13.10,ifName,Bundle-Ether18,642,<path_rra>/p-d7-ptr_traffic_in_160537.rrd
 P-D7-BAL,61.5.13.11,ifName,HundredGigE0/15/0/7,228,<path_rra>/p-d7-bal_traffic_in_160536.rrd
 P-D7-BAL,61.5.13.11,ifName,HundredGigE0/15/0/3,230,<path_rra>/p-d7-bal_traffic_in_160535.rrd
 P-D7-BAL,61.5.13.11,ifName,HundredGigE0/15/0/5,235,<path_rra>/p-d7-bal_traffic_in_160534.rrd
 P-D7-BAL,61.5.13.11,ifName,HundredGigE0/15/0/0,234,<path_rra>/p-d7-bal_traffic_in_160533.rrd
 P-D7-BAL,61.5.13.11,ifName,HundredGigE0/15/0/6,232,<path_rra>/p-d7-bal_traffic_in_160532.rrd
 P-D7-BAL,61.5.13.11,ifName,HundredGigE0/15/0/1,231,<path_rra>/p-d7-bal_traffic_in_160531.rrd
 P-D7-BAL,61.5.13.11,ifName,HundredGigE0/15/0/4,229,<path_rra>/p-d7-bal_traffic_in_160530.rrd
 P-D2-JT2,61.5.14.159,ifName,HundredGigE0/13/0/4,569,<path_rra>/p-d2-jt2_new_traffic_in_153566.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/0/0/29,178,<path_rra>/p2-d1-btc_traffic_in_138689.rrd
 P-D2-JT2,61.5.14.159,ifName,HundredGigE0/13/0/12,576,<path_rra>/p-d2-jt2_new_traffic_in_153573.rrd
 P-D7-PNK,61.5.14.55,ifName,Bundle-Ether5,452,<path_rra>/p-d7-pnk_traffic_in_159947.rrd
 P-D2-JT2,61.5.14.159,ifName,HundredGigE0/13/0/3,568,<path_rra>/p-d2-jt2_new_traffic_in_153565.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/0/0/24,173,<path_rra>/p2-d1-btc_traffic_in_138684.rrd
